id,product_type,name,code,description,unit_type,unit_weight,unit_weight_type,status,category
172,Resin,,50082168,B-10ML RG WHITE (L)-NS,Pcs,3.7,Grams,Active,FG
173,Resin,,50082168,B-10ML RG WHITE (L)-NS,Pcs,3.7,Grams,Active,FG
174,Resin,,50082171,OUTER BODY OI/0066-03,Pcs,8.2,Grams,Active,FG
175,Resin,,50082174,B-5ML RG WHITE (L)-NS,Pcs,2.87,Grams,Active,FG
176,Resin,,50082174,B-5ML RG WHITE (L)-NS,Pcs,2.87,Grams,Active,FG
177,Resin,,50082177,38MM OUTER CAPS WHITE,Pcs,4.002,Grams,Active,FG
178,Resin,,50082177,38MM OUTER CAPS WHITE,Pcs,4.1,Grams,Active,FG
179,Resin,,50082177,38MM OUTER CAPS WHITE,Pcs,4.1,Grams,Active,FG
180,Resin,,50082178,33MM OUTER CAPS WHITE,Pcs,3.6,Grams,Active,FG
181,Resin,,50082178,33MM OUTER CAPS WHITE,Pcs,3.6,Grams,Active,FG
182,Resin,,50082179,28MM OUTER CAPS WHITE,Pcs,3.1,Grams,Active,FG
183,Resin,,50082179,28MM OUTER CAPS WHITE,Pcs,3.1,Grams,Active,FG
184,Resin,,50082180,28MM INNER CAPS NATURAL,Pcs,2.373,Grams,Active,FG
185,Resin,,50082180,28MM INNER CAPS NATURAL,Pcs,2.8,Grams,Active,FG
186,Resin,,50082185,C-TAMPLOCK RED (H)-NS,Pcs,1.73,Grams,Active,FG
187,Resin,,50082185,C-TAMPLOCK RED (H)-NS,Pcs,1.6,Grams,Active,FG
188,Resin,,50082185,C-TAMPLOCK RED (H)-NS,Pcs,1.73,Grams,Active,FG
189,Resin,,50082193,PLUNGER - PI/0066-04,Pcs,0.7,Grams,Active,FG
190,Resin,,50082210,C-DOUBLE SAFE NX SKY BLUE - NS,Pcs,1.73,Grams,Active,FG
191,Resin,,50082210,C-DOUBLE SAFE NX SKY BLUE - NS,Pcs,1.76,Grams,Active,FG
192,Resin,,50082223,CAP - CI/0066-02,Pcs,3.82,Grams,Active,FG
193,Resin,,50082223,CAP - CI/0066-02,Pcs,3.82,Grams,Active,FG
194,Resin,,50082231,B-10ML O DESIGN O.GREEN (L)-NS,Pcs,3.6,Grams,Active,FG
195,Resin,,50082246,N-OPEN RSP-30mcl WHT NEW(L)-NS,Pcs,0.5,Grams,Active,FG
196,Resin,,50082246,N-OPEN RSP-30mcl WHT NEW(L)-NS,Pcs,0.485,Grams,Active,FG
197,Resin,,50082246,N-OPEN RSP-30mcl WHT NEW(L)-NS,Pcs,0.5,Grams,Active,FG
198,Resin,,50082249,B-5ML RG WHITE (L-F)-NS,Pcs,2.87,Grams,Active,FG
199,Resin,,50082252,B-10ML RG O.GREEN (L-F) NEW-NS,Pcs,3.7,Grams,Active,FG
200,Resin,,50082322,C-DOUBLE SAFE NX DARK BLUE- NS,Pcs,1.71,Grams,Active,FG
201,Resin,,50082322,C-DOUBLE SAFE NX DARK BLUE- NS,Pcs,1.71,Grams,Active,FG
202,Resin,,50082372,"C-TAMP SAFE""I"" O.GREEN-NS",Pcs,2.2,Grams,Active,FG
203,Resin,,50082374,"N-OPEN ""I"" O.GREEN (L)-NS",Pcs,0.54,Grams,Active,FG
204,Resin,,50082374,"N-OPEN ""I"" O.GREEN (L)-NS",Pcs,0.54,Grams,Active,FG
205,Resin,,50082374,"N-OPEN ""I"" O.GREEN (L)-NS",Pcs,0.54,Grams,Active,FG
206,Resin,,50082404,CAP - SPEEDY,Pcs,3.8,Grams,Active,FG
207,Resin,,50082404,CAP - SPEEDY,Pcs,3.8,Grams,Active,FG
208,Resin,,50082405,COLLAR - SPEEDY,Pcs,2.26,Grams,Active,FG
209,Resin,,50082431,C-DOUBLESAFE NX ROSE PINK(H)NS,Pcs,1.71,Grams,Active,FG
210,Resin,,50082431,C-DOUBLESAFE NX ROSE PINK(H)NS,Pcs,1.71,Grams,Active,FG
211,Resin,,50083109,N-OPEN RSP O.GREEN 415143-NS,Pcs,0.49,Grams,Active,FG
212,Resin,,50083166,C-TAMPSAFE NBSR WHITE (REL)-NS,Pcs,1.876,Grams,Active,FG
213,Resin,,50083265,B-5ML RG WHITE -12C (L)-NS,Pcs,2.886,Grams,Active,FG
214,Resin,,50083265,B-5ML RG WHITE -12C (L)-NS,Pcs,2.886,Grams,Active,FG
215,Resin,,50083268,B-5ML RSP NATURAL R2 NEW(L)-NS,Pcs,2.95,Grams,Active,FG
216,Resin,,50083268,B-5ML RSP NATURAL R2 NEW(L)-NS,Pcs,2.95,Grams,Active,FG
217,Resin,,50083269,B-5ML RSP WHITE R2 NEW (L)-NS,Pcs,2.95,Grams,Active,FG
218,Resin,,50083269,B-5ML RSP WHITE R2 NEW (L)-NS,Pcs,2.95,Grams,Active,FG
219,Resin,,50083286,"B-5ML ""O"" O. GREEN (L)-NS",Pcs,2.95,Grams,Active,FG
220,Resin,,50083321,"N-OPEN ""I"" NATURAL NEW (L)-NS",Pcs,0.54,Grams,Active,FG
221,Resin,,50083324,"N-OPEN ""I"" WHITE NEW (L)-NS",Pcs,0.54,Grams,Active,FG
222,Resin,,50091630,B-10ML RSP NATURAL R2 (L)-NS,Pcs,3.6,Grams,Active,FG
223,Resin,,50091630,B-10ML RSP NATURAL R2 (L)-NS,Pcs,3.6,Grams,Active,FG
224,Resin,,50091633,B-10ML RSP WHITE R2 (L)-NS,Pcs,3.6,Grams,Active,FG
225,Resin,,50091633,B-10ML RSP WHITE R2 (L)-NS,Pcs,3.6,Grams,Active,FG
226,Resin,,50092254,C-DOUBLESAFE NX P.GREEN (H)-NS,Pcs,1.73,Grams,Active,FG
227,Resin,,50092254,C-DOUBLESAFE NX P.GREEN (H)-NS,Pcs,1.73,Grams,Active,FG
228,Resin,,50092421,B-15ML RSP NATURAL R2 (L)-NS,Pcs,4.55,Grams,Active,FG
229,Resin,,50092445,"B-10ML ""I"" WHITE 6C-2 (L)-NS",Pcs,3.7,Grams,Active,FG
230,Resin,,50092445,"B-10ML ""I"" WHITE 6C-2 (L)-NS",Pcs,3.6,Grams,Active,FG
231,Resin,,50092519,CAP - SPEEDY - 8C,Pcs,3.8,Grams,Active,FG
232,Resin,,50092520,COLLAR - SPEEDY - 8C,Pcs,2.25,Grams,Active,FG
233,Resin,,50092553,B-15ML RSP WHITE R2 (L)-NS,Pcs,4.5,Grams,Active,FG
234,Resin,,50092961,B-10ML ROUND WHITE (L)-NS,Pcs,5,Grams,Active,FG
235,Resin,,50093305,B-10ML VIAL GLENMARK PRINTED,Pcs,0,Grams,Active,FG
236,Resin,,50093480,B-5ML RSP R2 NAT(DPT 20/64)-NS,Pcs,2.95,Grams,Active,FG
237,Resin,,50093548,B-5ML RSP R2 WT 176031 NEW-NS,Pcs,2.98,Grams,Active,FG
238,Resin,,50096938,B-10ML RSP WHITE R2 (H)-NS,Pcs,3.31,Grams,Active,FG
239,Resin,,50096981,CAP FOR 10ML ROUND BOTTLE-NS,Pcs,1.6,Grams,Active,FG
240,Resin,,50096982,NOZZLE FR 10ML ROUND BOTTLE-NS,Pcs,0.6,Grams,Active,FG
241,Resin,,50096982,NOZZLE FR 10ML ROUND BOTTLE-NS,Pcs,0.65,Grams,Active,FG
242,Resin,,50096985,10mL Plastic Bottle 20mmFinish,Pcs,4.2,Grams,Active,FG
243,Resin,,50096986,20mL Plastic Bottle 20mmFinish,Pcs,4.8,Grams,Active,FG
244,Resin,,50096986,20mL Plastic Bottle 20mmFinish,Pcs,4.8,Grams,Active,FG
245,Resin,,50096987,30mL Plastic Bottle 20mmFinish,Pcs,6.1,Grams,Active,FG
246,Resin,,50096987,30mL Plastic Bottle 20mmFinish,Pcs,6.1,Grams,Active,FG
247,Resin,,50096988,50mL Plastic Bottle 20mmFinish,Pcs,9.3,Grams,Active,FG
248,Resin,,50096988,50mL Plastic Bottle 20mmFinish,Pcs,9.3,Grams,Active,FG
249,Resin,,50097174,N-NFC NOZZLE NATURAL (L)-NS,Pcs,0.7,Grams,Active,FG
250,Resin,,50097174,N-NFC NOZZLE NATURAL (L)-NS,Pcs,0.7,Grams,Active,FG
251,Resin,,50097331,"B-5ML ""I"" O GREEN (L)-NS",Pcs,2.9,Grams,Active,FG
252,Resin,,50097600,B-10ML RSP R2 NATURAL (H)-NS,Pcs,3.31,Grams,Active,FG
253,Resin,,50097926,B-5ML RSP GRN PE6M415143 R2-NS,Pcs,2.95,Grams,Active,FG
254,Resin,,50097931,B-15ML RSP R2 GRNPE6M415143-NS,Pcs,4.55,Grams,Active,FG
255,Resin,,50098147,B-10ML RSP R2 GRNPE6M415143-NS,Pcs,3.6,Grams,Active,FG
256,Resin,,50098147,B-10ML RSP R2 GRNPE6M415143-NS,Pcs,3.6,Grams,Active,FG
257,Resin,,50098256,B-15ML RG O.GRN 91151-NS,Pcs,4.48,Grams,Active,FG
258,Resin,,50098386,N-RISDROP NOZZLE 45MLTR WHT-NS,Pcs,0.47,Grams,Active,FG
259,Resin,,50098386,N-RISDROP NOZZLE 45MLTR WHT-NS,Pcs,0.48,Grams,Active,FG
260,Resin,,50098871,33MM CRIII OUTER CAPS WT(MAS),Pcs,4.18,Grams,Active,FG
261,Resin,,50098871,33MM CRIII OUTER CAPS WT(MAS),Pcs,4.18,Grams,Active,FG
262,Resin,,50098871,33MM CRIII OUTER CAPS WT(MAS),Pcs,4.18,Grams,Active,FG
263,Resin,,50098989,N-OPEN RG NAT 64C(L-1840H)-NS,Pcs,0.64,Grams,Active,FG
264,Resin,,50098989,N-OPEN RG NAT 64C(L-1840H)-NS,Pcs,0.64,Grams,Active,FG
265,Resin,,50099023,C-DOUBLESAFE NATURAL NX(H)-NS,Pcs,1.73,Grams,Active,FG
266,Resin,,50099120,N-OPEN RG WHITE 64C (L)-NS,Pcs,0.62,Grams,Active,FG
267,Resin,,50099120,N-OPEN RG WHITE 64C (L)-NS,Pcs,0.62,Grams,Active,FG
268,Resin,,50099204,33MM OUTER CAPS WHITE (MAS),Pcs,3.7,Grams,Active,FG
